temp precipitacao co2 ozono
22.1 1359.8 453.3 0.048
10.3 1330.1 337.5 0.056
14.2 1275.5 392.8 0.075
18.5 1474.3 414.7 0.046
4.7 1243.4 270.1 0.052
17.7 1268 408.4 0.065
17.7 1215.6 398 0.053
13 1351.7 348.5 0.051
17 1415 394.1 0.049
21.2 1372 434.1 0.062
18.9 1554.4 403.2 0.058
15.3 1677.8 362.3 0.032
26.1 1473.3 493.6 0.059
14.1 1348.8 427.1 0.058
14 1444.2 383.3 0.047
13 1391.5 359.7 0.055
15.3 1187.7 399.6 0.046
19.6 1170.7 425.5 0.071
16 1476.7 383.3 0.056
20.8 1456 423.6 0.058
19.1 1106.3 406.2 0.051
19.6 1207.2 418.4 0.054
18.4 1439.7 363.1 0.051
15.6 1427.5 369 0.054
21 1461.9 442.2 0.05
16 1340.1 354.1 0.058
11.5 1338 368.7 0.055
15.3 1508.7 319.7 0.044
24.5 1510.5 411.3 0.041
22.1 1138.1 434.3 0.052
18 1146.2 394.5 0.05
21.3 1418.5 405.5 0.035
25.7 1359.2 469.2 0.063
14.9 1383 357.8 0.049
17.5 1465.9 341.6 0.077
22.8 1182.9 485 0.036
13 1259.1 346 0.055
24.1 1105.8 471.3 0.069
19.1 1311.4 436.5 0.065
16.4 1167.2 393.1 0.046
12 1514.3 366.8 0.051
18.2 1374.7 415.4 0.044
19.9 1202.5 436.4 0.058
14.3 1540.8 392.3 0.067
22.7 1528.9 410.3 0.058
12.8 1362.8 376.6 0.042
23.9 1152.8 482.6 0.047
18.4 1006.8 428.3 0.057
24.2 1430 461.2 0.066
26.7 1322 491.9 0.042
15.8 1076.6 394.4 0.054
15.8 1439.6 384.3 0.071
23 1226.4 490.3 0.057
16.9 1360.6 359.5 0.041
16.1 1477.9 378.7 0.049
22.4 1425.2 453.4 0.053
12.2 1423.3 363.5 0.036
15.7 1651.4 350.5 0.052
16.1 1259.2 363.9 0.047
15.1 1076.4 391.4 0.041
19.5 1343.9 375.2 0.044
22.9 1107.7 449.8 0.054
13.9 1431 373.6 0.056
15.6 1360.5 401.8 0.061
20.6 1460 433.1 0.035
26.8 1218.8 500.9 0.071
14.7 1522.6 380.2 0.065
18 1622.8 369.1 0.053
17.3 1344.5 379 0.047
29.8 1583.5 515.6 0.065
13.6 1105.6 417.9 0.042
18.3 1438 357.5 0.04
27.1 1248.5 497.6 0.042
26.7 1383.9 461.1 0.063
15.8 1064.1 389.1 0.065
13.8 1552.3 343.5 0.051
12.7 1339 374.5 0.052
20.5 1527.8 401.7 0.041
25.5 1245.3 472.7 0.05
10.4 1288.9 307 0.052
13.7 1432.6 358.8 0.061
17.7 1273.7 411.4 0.05
18.5 1430.3 437.5 0.047
18.1 1418.8 428.2 0.047
16.3 1686.5 389.8 0.051
25.7 1448.2 467.8 0.061
13.4 1368.5 332.9 0.06
16.5 1174 368.8 0.055
16.7 1440.3 365.7 0.051
18.9 1424.2 405.6 0.056
11.6 1456.7 288.4 0.064
15.7 1400.4 371.7 0.055
20.2 1234.4 424.3 0.053
12.2 1200.6 365.2 0.032
24.8 1324.7 455.9 0.045
10.7 1392 320.5 0.048
25.5 1309.9 459.7 0.06
11 1721.7 283.7 0.053
15.3 1393.9 392.9 0.057
24.3 1465.1 447.9 0.048
